KO	saline_present	saline_absent	non_present	non_absent	odds_ratio	p_value	p_adj
K01505	54	0	46	0		1.0	1.0
K04103	54	0	46	0		1.0	1.0
K01077	51	3	46	0	0.0	0.2472727272727273	1.0
K01113	41	13	40	6	0.47307692307692306	0.20463522717337618	1.0
K07657	54	0	46	0		1.0	1.0
K07636	54	0	46	0		1.0	1.0
K00117	0	54	0	46		1.0	1.0
K03833	54	0	46	0		1.0	1.0
K03834	8	46	10	36	0.6260869565217392	0.43822026899407684	1.0
K03835	0	54	0	46		1.0	1.0
K03836	0	54	0	46		1.0	1.0
K03837	5	49	5	41	0.8367346938775511	1.0	1.0
K01915	54	0	46	0		1.0	1.0
K00372	52	2	46	0	0.0	0.49818181818181817	1.0
K00366	54	0	46	0		1.0	1.0
K16531	54	0	46	0		1.0	1.0
K06390	54	0	46	0		1.0	1.0
K02406	53	1	46	0	0.0	1.0	1.0
K02556	53	1	46	0	0.0	1.0	1.0
K02557	53	1	46	0	0.0	1.0	1.0
K03407	53	1	46	0	0.0	1.0	1.0
K03413	54	0	46	0		1.0	1.0
