KO	group	present	total	frequency
K01505	saline	54	54	1.0
K01505	non_saline	46	46	1.0
K04103	saline	54	54	1.0
K04103	non_saline	46	46	1.0
K01077	saline	51	54	0.944
K01077	non_saline	46	46	1.0
K01113	saline	41	54	0.759
K01113	non_saline	40	46	0.87
K07657	saline	54	54	1.0
K07657	non_saline	46	46	1.0
K07636	saline	54	54	1.0
K07636	non_saline	46	46	1.0
K00117	saline	0	54	0.0
K00117	non_saline	0	46	0.0
K03833	saline	54	54	1.0
K03833	non_saline	46	46	1.0
K03834	saline	8	54	0.148
K03834	non_saline	10	46	0.217
K03835	saline	0	54	0.0
K03835	non_saline	0	46	0.0
K03836	saline	0	54	0.0
K03836	non_saline	0	46	0.0
K03837	saline	5	54	0.093
K03837	non_saline	5	46	0.109
K01915	saline	54	54	1.0
K01915	non_saline	46	46	1.0
K00372	saline	52	54	0.963
K00372	non_saline	46	46	1.0
K00366	saline	54	54	1.0
K00366	non_saline	46	46	1.0
K16531	saline	54	54	1.0
K16531	non_saline	46	46	1.0
K06390	saline	54	54	1.0
K06390	non_saline	46	46	1.0
K02406	saline	53	54	0.981
K02406	non_saline	46	46	1.0
K02556	saline	53	54	0.981
K02556	non_saline	46	46	1.0
K02557	saline	53	54	0.981
K02557	non_saline	46	46	1.0
K03407	saline	53	54	0.981
K03407	non_saline	46	46	1.0
K03413	saline	54	54	1.0
K03413	non_saline	46	46	1.0
