KO	saline_present	saline_absent	non_saline_present	non_saline_absent	saline_frequency	non_saline_frequency	frequency_difference	odds_ratio	p_value	q_value
K00372	33	21	36	10	0.6111111111111112	0.782608695652174	-0.1714975845410628	0.4365079365079365	0.08350100821587134	1.0
K03833	4	50	0	46	0.07407407407407407	0.0	0.07407407407407407	inf	0.12226689363655491	1.0
K00366	4	50	0	46	0.07407407407407407	0.0	0.07407407407407407	inf	0.12226689363655491	1.0
K01113	40	14	40	6	0.7407407407407407	0.8695652173913043	-0.12882447665056362	0.42857142857142855	0.13568861689744763	1.0
K01077	51	3	46	0	0.9444444444444444	1.0	-0.05555555555555558	0.0	0.2472727272727273	1.0
K02406	51	3	46	0	0.9444444444444444	1.0	-0.05555555555555558	0.0	0.2472727272727273	1.0
K00004	38	16	37	9	0.7037037037037037	0.8043478260869565	-0.10064412238325282	0.5777027027027027	0.35427719607495306	1.0
K19552	28	26	28	18	0.5185185185185185	0.6086956521739131	-0.09017713365539459	0.6923076923076923	0.42165716952012655	1.0
K03413	54	0	45	1	1.0	0.9782608695652174	0.021739130434782594	inf	0.46	1.0
K23187	2	52	0	46	0.037037037037037035	0.0	0.037037037037037035	inf	0.49818181818181817	1.0
K19550	35	19	33	13	0.6481481481481481	0.717391304347826	-0.06924315619967791	0.7256778309409888	0.5224463440784587	1.0
K19549	34	20	32	14	0.6296296296296297	0.6956521739130435	-0.06602254428341381	0.74375	0.5306036188130199	1.0
K23188	45	9	41	5	0.8333333333333334	0.8913043478260869	-0.05797101449275355	0.6097560975609756	0.5649143306239881	1.0
K01505	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K04103	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K21801	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K11816	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K11817	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K07657	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K07636	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K00117	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K02036	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02037	53	1	46	0	0.9814814814814815	1.0	-0.01851851851851849	0.0	1.0	1.0
K02038	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02040	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K03834	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K03835	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K03836	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K03837	5	49	5	41	0.09259259259259259	0.10869565217391304	-0.016103059581320453	0.8367346938775511	1.0	1.0
K02013	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02015	43	11	37	9	0.7962962962962963	0.8043478260869565	-0.008051529790660261	0.9508599508599509	1.0	1.0
K02016	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K23186	1	53	0	46	0.018518518518518517	0.0	0.018518518518518517	inf	1.0	1.0
K01915	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K16531	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K06390	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02556	53	1	46	0	0.9814814814814815	1.0	-0.01851851851851849	0.0	1.0	1.0
K02557	53	1	46	0	0.9814814814814815	1.0	-0.01851851851851849	0.0	1.0	1.0
K03407	53	1	45	1	0.9814814814814815	0.9782608695652174	0.0032206119162641045	1.1777777777777778	1.0	1.0
K07692	53	1	46	0	0.9814814814814815	1.0	-0.01851851851851849	0.0	1.0	1.0
K19733	0	54	0	46	0.0	0.0	0.0		1.0	1.0
