Axis	Eigenvalue	Variance_explained
Axis1	1.2028026877593436	0.541963575670455
Axis2	0.4528543601794745	0.20404890244968402
Axis3	0.2116304379638273	0.09535727683918226
Axis4	0.11642895615934568	0.05246101794904094
Axis5	0.1035989960650092	0.04668004396286785
Axis6	0.055510159901316906	0.025011986631157005
Axis7	0.033573974071179964	0.015127893562476355
Axis8	0.01923189341622961	0.008665582334363977
Axis9	0.01528672553267188	0.006887953040255694
Axis10	0.005924634539932075	0.0026695451818317777
Axis11	0.001961450287821541	0.0008837980013728543
Axis12	0.0005380226747675221	0.00024242437731160897
Axis13	5.01529892609233e-16	2.259813156973116e-16
Axis14	2.0893659590027574e-16	9.414347486491698e-17
Axis15	1.375635447122871e-16	6.198392415721841e-17
Axis16	1.3451807298229971e-16	6.061168350196849e-17
Axis17	8.171976549595024e-17	3.6821614020202134e-17
Axis18	6.832690233548854e-17	3.078700495191811e-17
Axis19	5.839875865370778e-17	2.631354284187625e-17
Axis20	5.738024565390306e-17	2.5854617240147422e-17
Axis21	5.006788871746864e-17	2.2559786631453625e-17
Axis22	4.89375079115918e-17	2.2050455192758973e-17
Axis23	4.7603973639946267e-17	2.1449586064767207e-17
Axis24	4.308322210746281e-17	1.9412608021571617e-17
Axis25	3.4260357181316235e-17	1.543716676949108e-17
Axis26	3.075414901995098e-17	1.3857325677085203e-17
Axis27	2.9684142402264617e-17	1.3375197878058886e-17
Axis28	2.3191929781055774e-17	1.0449911127363506e-17
Axis29	1.9807764516394197e-17	8.925060604363423e-18
Axis30	1.8261344697859868e-17	8.228268667606288e-18
Axis31	1.715351127488207e-17	7.729096717564541e-18
Axis32	1.438457765039781e-17	6.481459691814983e-18
Axis33	1.1863505778511508e-17	5.345505191451344e-18
Axis34	1.1579196940367349e-17	5.2174001946107054e-18
Axis35	1.0923215436472249e-17	4.921825463158324e-18
Axis36	7.906121037215293e-18	3.5623711774328134e-18
Axis37	6.6148032831200254e-18	2.980524134307285e-18
Axis38	6.5993578939467064e-18	2.9735646899784838e-18
Axis39	5.737089853328153e-18	2.585040557769786e-18
Axis40	5.387633958949015e-18	2.4275813435659615e-18
Axis41	4.29043208357351e-18	1.933199798145094e-18
Axis42	4.011140756794579e-18	1.8073556113509753e-18
Axis43	3.825571702648845e-18	1.7237411755485762e-18
Axis44	3.040405943483124e-18	1.3699580932009906e-18
Axis45	2.416738544518458e-18	1.0889435785081115e-18
Axis46	1.5782406322772284e-18	7.111298844291444e-19
Axis47	8.928540741765487e-19	4.023057077583396e-19
Axis48	2.3339947635485695e-19	1.0516605595596985e-19
