KO	saline_present	saline_absent	non_saline_present	non_saline_absent	saline_frequency	non_saline_frequency	frequency_difference	odds_ratio	p_value	q_value
K00372	33	21	36	10	0.6111111111111112	0.782608695652174	-0.1714975845410628	0.4365079365079365	0.0835010082158713	1.0
K03833	4	50	0	46	0.074074074074074	0.0	0.074074074074074	inf	0.1222668936365549	1.0
K00366	4	50	0	46	0.074074074074074	0.0	0.074074074074074	inf	0.1222668936365549	1.0
K01113	40	14	40	6	0.7407407407407407	0.8695652173913043	-0.1288244766505636	0.4285714285714285	0.1356886168974476	1.0
K01077	51	3	46	0	0.9444444444444444	1.0	-0.0555555555555555	0.0	0.2472727272727273	1.0
K02406	51	3	46	0	0.9444444444444444	1.0	-0.0555555555555555	0.0	0.2472727272727273	1.0
K00004	38	16	37	9	0.7037037037037037	0.8043478260869565	-0.1006441223832528	0.5777027027027027	0.354277196074953	1.0
K19552	28	26	28	18	0.5185185185185185	0.6086956521739131	-0.0901771336553945	0.6923076923076923	0.4216571695201265	1.0
K03413	54	0	45	1	1.0	0.9782608695652174	0.0217391304347825	inf	0.46	1.0
K23187	2	52	0	46	0.037037037037037	0.0	0.037037037037037	inf	0.4981818181818181	1.0
K19550	35	19	33	13	0.6481481481481481	0.717391304347826	-0.0692431561996779	0.7256778309409888	0.5224463440784587	1.0
K19549	34	20	32	14	0.6296296296296297	0.6956521739130435	-0.0660225442834138	0.74375	0.5306036188130199	1.0
K23188	45	9	41	5	0.8333333333333334	0.8913043478260869	-0.0579710144927535	0.6097560975609756	0.5649143306239881	1.0
K01505	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K04103	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K21801	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K11816	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K11817	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K07657	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K07636	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K00117	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K02036	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02037	53	1	46	0	0.9814814814814816	1.0	-0.0185185185185184	0.0	1.0	1.0
K02038	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02040	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K03834	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K03835	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K03836	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K03837	5	49	5	41	0.0925925925925925	0.108695652173913	-0.0161030595813204	0.8367346938775511	1.0	1.0
K02013	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02015	43	11	37	9	0.7962962962962963	0.8043478260869565	-0.0080515297906602	0.9508599508599508	1.0	1.0
K02016	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K23186	1	53	0	46	0.0185185185185185	0.0	0.0185185185185185	inf	1.0	1.0
K01915	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K16531	0	54	0	46	0.0	0.0	0.0		1.0	1.0
K06390	54	0	46	0	1.0	1.0	0.0		1.0	1.0
K02556	53	1	46	0	0.9814814814814816	1.0	-0.0185185185185184	0.0	1.0	1.0
K02557	53	1	46	0	0.9814814814814816	1.0	-0.0185185185185184	0.0	1.0	1.0
K03407	53	1	45	1	0.9814814814814816	0.9782608695652174	0.0032206119162641	1.1777777777777778	1.0	1.0
K07692	53	1	46	0	0.9814814814814816	1.0	-0.0185185185185184	0.0	1.0	1.0
K19733	0	54	0	46	0.0	0.0	0.0		1.0	1.0
