Assembly_accession	Organism_name	Species	Group	Isolation_source	Location
GCF_001457015.1	Bacillus altitudinis	Bacillus altitudinis	saline	marine sediment	India: Chora Island
GCF_002024555.1	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	saline	salt lake	Algeria: Ain Baida-Ouargla
GCF_024262145.1	Bacillus altitudinis	Bacillus altitudinis	saline	mangrove soil	Philippines: Palawan
GCF_003003625.1	Bacillus atrophaeus	Bacillus atrophaeus	saline	soil from salt lake	China: Qinghai, Qinghai lake
GCF_003003645.1	Bacillus atrophaeus	Bacillus atrophaeus	saline	soil from salt lake	China: Qinghai, Qinghai lake
GCF_037104725.1	Bacillus bruguierae	Bacillus bruguierae	saline	marine sediment	China: Fujian
GCF_027706145.1	Bacillus changyiensis	Bacillus changyiensis	saline	coastal deposit	China:Changyi
GCF_003003575.1	Bacillus halotolerans	Bacillus halotolerans	saline	salt lake	China: Qinghai, Qinghai lake
GCF_004006435.1	Bacillus halotolerans	Bacillus halotolerans	saline	dry salty rhizosphere soil of maize	China: Inner Mongolia
GCF_012955605.1	Bacillus fonticola	Bacillus fonticola	saline	marine sediments	China: South China Sea
GCF_013347105.1	Bacillus halotolerans	Bacillus halotolerans	saline	saline-alkali rhizosphere soil of Androsace umbellata in Hoh Xil	China:Qinghai
GCF_014042035.1	Bacillus haynesii	Bacillus haynesii	saline	Saline-alkali environment	China: Kashgar
GCF_034427495.1	Bacillus inaquosorum	Bacillus inaquosorum	saline	coastal mudflats	China: Jiaozhou Bay
GCF_037201805.1	Bacillus kandeliae	Bacillus kandeliae	saline	marine sediment	China: Fujian
GCF_000258125.2	Bacillus licheniformis WX-02	Bacillus licheniformis	saline	soil from Yingcheng Salt Mine	China: Hubei Province
GCF_002966955.1	Bacillus licheniformis	Bacillus licheniformis	saline	High-salt fermented soybean	South Korea: Suwon
GCF_014673515.1	Bacillus licheniformis	Bacillus licheniformis	saline	Crude salt from Camalti Saltern	Turkey: Izmir
GCF_017338795.1	Bacillus licheniformis	Bacillus licheniformis	saline	seawater	South Korea: 86, Jungnim 3-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do
GCF_022808645.1	Bacillus litorisediminis	Bacillus litorisediminis	saline	mangrove sediments	China
GCF_022808785.1	Bacillus litorisediminis	Bacillus litorisediminis	saline	mangrove sediments	China
GCF_041225435.1	Bacillus manliponensis	Bacillus manliponensis	saline	coastal soil	South Korea: Jeju
GCF_002026335.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	water-salt lake	Algeria: Ain Baida-Ouargla
GCF_002393225.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	Doejnang (High-salt fermented soybean)	South Korea: Suwon
GCF_002993945.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	Red Sea lagoons-Mangrove mud	Saudi Arabia:Rabigh harbor lagoon
GCF_035985545.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	Seawater sediment	China:Qingdao
GCF_002077215.1	Bacillus safensis	Bacillus safensis	saline	mangrove soil	Brazil: Paranagua
GCF_030717805.1	Bacillus pumilus	Bacillus pumilus	saline	salt spring sediment	USA:Kentucky
GCF_041431275.1	Bacillus pumilus	Bacillus pumilus	saline	Arctic surface microlayer seawater	Arctic Ocean:North of Greenland
GCF_001742425.1	Bacillus solimangrovi	Bacillus solimangrovi	saline		South Korea
GCF_052976745.1	Bacillus safensis	Bacillus safensis	saline	Deep seawater	China:Qingdao
GCF_055475255.1	Bacillus siamensis	Bacillus siamensis	saline	stem	China
GCF_005234095.1	Bacillus subtilis	Bacillus subtilis	saline	seawater	China: Shanghai, The East China Sea
GCF_008831405.1	Bacillus subtilis	Bacillus subtilis	saline	Mangrove habitat samples	China: Chiu-lung River
GCF_024262185.1	Bacillus subtilis	Bacillus subtilis	saline	mangrove soil	Philippines: Palawan
GCF_025426155.1	Bacillus subtilis	Bacillus subtilis	saline	marine sediments	Pacific Ocean: Western Pacific Ocean
GCF_025837035.1	Bacillus subtilis	Bacillus subtilis	saline	marine sediment	Tanzania: Bagamoyo
GCF_052373815.1	Bacillus stercoris	Bacillus stercoris	saline	digestive tract of Litopenaeus vannamei (approximately 10 g in body weight), collected from a coastal pond	Indonesia: Sumatra, Suak, Lampung
GCF_050908195.1	Bacillus subtilis	Bacillus subtilis	saline	bottom sediment samples (0-5 cm depth) from the lower Don River	Russia:near the Southern Scientific Centre RAS coastal research base
GCF_050908245.1	Bacillus subtilis	Bacillus subtilis	saline	bottom sediment samples (0-5 cm depth) from the lower Don River	Russia:near the Southern Scientific Centre RAS coastal research base
GCF_004328925.1	Bacillus subtilis subsp. subtilis	Bacillus subtilis	saline	seawater samples were obtained by a Remotely Operated Vehicle (ROV) equipped on the KEXUE vessel during the cruise of April 2014; sample derived site was high hydrostatic pressure, low temperature, darkness, and close to hydrothermal vent field.	China: East China Sea
GCF_002811125.1	Bacillus vallismortis	Bacillus vallismortis	saline	saltern sediments	India: Tuticorin, Tamilnadu
GCF_003667745.1	Bacillus velezensis	Bacillus velezensis	saline	Red Sea lagoons-Mangrove Mud	Saudi Arabia:Rabigh harbor lagoon
GCF_004378445.1	Bacillus velezensis	Bacillus velezensis	saline	seawater	China: Haikou
GCF_013348705.1	Bacillus velezensis	Bacillus velezensis	saline	Phragmites communis rhizosphere in Keke Saltworks	China:Qinghai
GCF_014842935.1	Bacillus velezensis	Bacillus velezensis	saline	sea water	China: Xiamen
GCF_015732475.1	Bacillus velezensis	Bacillus velezensis	saline	sea water	Indian Ocean
GCF_016904925.1	Bacillus velezensis	Bacillus velezensis	saline	saltpan	Botswana: Makadikadi Basin
GCF_019285615.1	Bacillus velezensis	Bacillus velezensis	saline	mangrove sediments	China: Mangrove National Nature Reserve, Zhangjiangkou
GCF_020149955.1	Bacillus velezensis	Bacillus velezensis	saline	Doenjang, high-salt fermented soybean paste	South Korea
GCF_029691445.1	Bacillus velezensis	Bacillus velezensis	saline	Mangrove Sea	China:Qinzhou
GCF_030517005.1	Bacillus velezensis	Bacillus velezensis	saline		South Korea: Jeju island, Hamdeok beach
GCF_030517045.1	Bacillus velezensis	Bacillus velezensis	saline		South Korea: Jeju island, Hamdeok beach
GCF_045760535.1	Bacillus velezensis	Bacillus velezensis	saline	mangrove plants	China: Zhanjiang
GCF_052783145.1	Bacillus velezensis	Bacillus velezensis	saline	salt lake	China: Shanxi, Yuncheng
GCF_001191605.1	Bacillus altitudinis	Bacillus altitudinis	non_saline	soil	China
GCF_004563755.2	Bacillus altitudinis	Bacillus altitudinis	non_saline	rhizosphere soil	Malaysia: Cameron Highlan
GCF_019880425.1	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	non_saline	soil	USA:California
GCF_036209985.1	Bacillus atrophaeus	Bacillus atrophaeus	non_saline	soil	Israel: Evolution Canyon
GCF_026793855.1	Bacillus atrophaeus	Bacillus atrophaeus	non_saline	soil	not collected
GCF_056493705.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	soil	China: Xihe
GCF_033568485.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	soil	China: Inner Mongolia
GCF_040256795.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	rhizosphere	Morocco
GCF_001969855.1	Bacillus haynesii	Bacillus haynesii	non_saline	soil	Israel: Evolution canyon, arroyo at canyon bottom
GCF_026793695.1	Bacillus inaquosorum	Bacillus inaquosorum	non_saline	soil	not collected
GCF_035809815.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	soil	USA
GCF_036210315.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	soil	Israel: Evolution Canyon
GCF_001642595.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	soil	Czech Republic:Nerartovice
GCF_056504695.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	Alkaline soil	China: Wuhan
