KO	group_x	saline_present_x	saline_total	saline_freq	group_y	non_present_x	non_total	non_freq	saline_present_y	saline_absent	non_present_y	non_absent	odds_ratio	p_value	p_adj
K01505	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K04103	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K01077	saline	51	54	0.944	non_saline	46	46	1.0	51	3	46	0	0.0	2.47e-01	1.00e+00
K01113	saline	41	54	0.759	non_saline	40	46	0.87	41	13	40	6	0.473076923076923	2.05e-01	1.00e+00
K07657	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K07636	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K00117	saline	0	54	0.0	non_saline	0	46	0.0	0	54	0	46		1.00e+00	1.00e+00
K03833	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K03834	saline	8	54	0.148	non_saline	10	46	0.217	8	46	10	36	0.6260869565217392	4.38e-01	1.00e+00
K03835	saline	0	54	0.0	non_saline	0	46	0.0	0	54	0	46		1.00e+00	1.00e+00
K03836	saline	0	54	0.0	non_saline	0	46	0.0	0	54	0	46		1.00e+00	1.00e+00
K03837	saline	5	54	0.093	non_saline	5	46	0.109	5	49	5	41	0.8367346938775511	1.00e+00	1.00e+00
K01915	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K00372	saline	52	54	0.963	non_saline	46	46	1.0	52	2	46	0	0.0	4.98e-01	1.00e+00
K00366	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K16531	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K06390	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
K02406	saline	53	54	0.981	non_saline	46	46	1.0	53	1	46	0	0.0	1.00e+00	1.00e+00
K02556	saline	53	54	0.981	non_saline	46	46	1.0	53	1	46	0	0.0	1.00e+00	1.00e+00
K02557	saline	53	54	0.981	non_saline	46	46	1.0	53	1	46	0	0.0	1.00e+00	1.00e+00
K03407	saline	53	54	0.981	non_saline	46	46	1.0	53	1	46	0	0.0	1.00e+00	1.00e+00
K03413	saline	54	54	1.0	non_saline	46	46	1.0	54	0	46	0		1.00e+00	1.00e+00
