genome	Organism Name	species_clean	group	phytohormone_stress_score	phytohormone_stress_fraction	nutrient_acquisition_score	nutrient_acquisition_fraction	colonization_persistence_score	colonization_persistence_fraction
GCF_001457015.1	Bacillus altitudinis	Bacillus altitudinis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_002024555.1	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_024262145.1	Bacillus altitudinis	Bacillus altitudinis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_003003625.1	Bacillus atrophaeus	Bacillus atrophaeus	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_003003645.1	Bacillus atrophaeus	Bacillus atrophaeus	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_037104725.1	Bacillus bruguierae	Bacillus bruguierae	saline	2	1.0	9	0.6923076923076923	3	0.42857142857142855
GCF_027706145.1	Bacillus changyiensis	Bacillus changyiensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_003003575.1	Bacillus halotolerans	Bacillus halotolerans	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_004006435.1	Bacillus halotolerans	Bacillus halotolerans	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_012955605.1	Bacillus fonticola	Bacillus fonticola	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_013347105.1	Bacillus halotolerans	Bacillus halotolerans	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_014042035.1	Bacillus haynesii	Bacillus haynesii	saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_034427495.1	Bacillus inaquosorum	Bacillus inaquosorum	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_037201805.1	Bacillus kandeliae	Bacillus kandeliae	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_000258125.2	Bacillus licheniformis WX-02	Bacillus licheniformis	saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_002966955.1	Bacillus licheniformis	Bacillus licheniformis	saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_014673515.1	Bacillus licheniformis	Bacillus licheniformis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_017338795.1	Bacillus licheniformis	Bacillus licheniformis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_022808645.1	Bacillus litorisediminis	Bacillus litorisediminis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_022808785.1	Bacillus litorisediminis	Bacillus litorisediminis	saline	2	1.0	6	0.46153846153846156	7	1.0
GCF_041225435.1	Bacillus manliponensis	Bacillus manliponensis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_002026335.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_002393225.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_002993945.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_035985545.1	Bacillus paralicheniformis	Bacillus paralicheniformis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_002077215.1	Bacillus safensis	Bacillus safensis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_030717805.1	Bacillus pumilus	Bacillus pumilus	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_041431275.1	Bacillus pumilus	Bacillus pumilus	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_001742425.1	Bacillus solimangrovi	Bacillus solimangrovi	saline	2	1.0	6	0.46153846153846156	7	1.0
GCF_052976745.1	Bacillus safensis	Bacillus safensis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_055475255.1	Bacillus siamensis	Bacillus siamensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_005234095.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_008831405.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_024262185.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_025426155.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_025837035.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_052373815.1	Bacillus stercoris	Bacillus stercoris	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_050908195.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_050908245.1	Bacillus subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_004328925.1	Bacillus subtilis subsp. subtilis	Bacillus subtilis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_002811125.1	Bacillus vallismortis	Bacillus vallismortis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_003667745.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_004378445.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_013348705.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_014842935.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_015732475.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_016904925.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_019285615.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_020149955.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_029691445.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_030517005.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_030517045.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_045760535.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_052783145.1	Bacillus velezensis	Bacillus velezensis	saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_001191605.1	Bacillus altitudinis	Bacillus altitudinis	non_saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_004563755.2	Bacillus altitudinis	Bacillus altitudinis	non_saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_019880425.1	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	non_saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_036209985.1	Bacillus atrophaeus	Bacillus atrophaeus	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_026793855.1	Bacillus atrophaeus	Bacillus atrophaeus	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_056493705.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_033568485.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_040256795.1	Bacillus halotolerans	Bacillus halotolerans	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_001969855.1	Bacillus haynesii	Bacillus haynesii	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_026793695.1	Bacillus inaquosorum	Bacillus inaquosorum	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_035809815.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_036210315.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_001642595.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_056504695.1	Bacillus licheniformis	Bacillus licheniformis	non_saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_036210355.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_036210515.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_002068155.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_036210525.1	Bacillus paralicheniformis	Bacillus paralicheniformis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_026787105.1	Bacillus safensis	Bacillus safensis	non_saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_030292035.1	Bacillus safensis	Bacillus safensis	non_saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_056781025.1	Bacillus pumilus	Bacillus pumilus	non_saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_026787785.1	Bacillus pumilus	Bacillus pumilus	non_saline	2	1.0	7	0.5384615384615384	7	1.0
GCF_027497645.1	Bacillus siamensis	Bacillus siamensis	non_saline	2	1.0	9	0.6923076923076923	7	1.0
GCF_030273385.1	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_025460705.1	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_013342875.1	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_018530835.1	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_905310995.2	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_030643845.1	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_035822435.1	Bacillus subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_029916985.1	Bacillus subtilis subsp. subtilis	Bacillus subtilis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_035822295.1	Bacillus stercoris	Bacillus stercoris	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_004116955.1	Bacillus vallismortis	Bacillus vallismortis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_003441635.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_002005345.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_045344285.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_021892375.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_037889395.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_044905085.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_049354995.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_024919095.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	10	0.7692307692307693	7	1.0
GCF_002117165.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_054889405.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_054187945.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_051131645.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
GCF_054966515.1	Bacillus velezensis	Bacillus velezensis	non_saline	2	1.0	8	0.6153846153846154	7	1.0
