Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits	species
GCF_001191605.1	Bacillus altitudinis	Complete Genome	current	3681784	2	SAMN02905161	soil	China		non_saline_candidate		Bacillus altitudinis
GCF_004563755.2	Bacillus altitudinis	Complete Genome	current	3867833	1	SAMN10857349	rhizosphere soil	Malaysia: Cameron Highlan	Solanum lycopersicum	non_saline_candidate		Bacillus altitudinis
GCF_019880425.1	Bacillus amyloliquefaciens	Complete Genome	current	4155652	1	SAMN21001928	soil	USA:California		non_saline_candidate		Bacillus amyloliquefaciens
GCF_036209985.1	Bacillus atrophaeus	Scaffold	current	4052323	32	SAMN32927378	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus atrophaeus
GCF_026793855.1	Bacillus atrophaeus	Scaffold	current	4186000	21	SAMN25999672	soil	not collected		non_saline_candidate		Bacillus atrophaeus
GCF_056493705.1	Bacillus halotolerans	Complete Genome	current	4250820	1	SAMN56707214	soil	China: Xihe	environment	non_saline_candidate		Bacillus halotolerans
GCF_033568485.1	Bacillus halotolerans	Complete Genome	current	4208811	1	SAMN36977584	soil	China: Inner Mongolia		non_saline_candidate		Bacillus halotolerans
GCF_040256795.1	Bacillus halotolerans	Chromosome	current	4214739	28	SAMN41599398	rhizosphere	Morocco	Olea europaea	non_saline_candidate		Bacillus halotolerans
GCF_001969855.1	Bacillus haynesii	Scaffold	current	4378519	77	SAMN06102002	soil	Israel: Evolution canyon, arroyo at canyon bottom		non_saline_candidate		Bacillus haynesii
GCF_026793695.1	Bacillus inaquosorum	Scaffold	current	4178786	26	SAMN25999680	soil	not collected		non_saline_candidate		Bacillus inaquosorum
GCF_035809815.1	Bacillus licheniformis	Scaffold	current	4164332	17	SAMN33940564	soil	USA		non_saline_candidate		Bacillus licheniformis
GCF_036210315.1	Bacillus licheniformis	Scaffold	current	4301114	45	SAMN32927362	soil	Israel: Evolution Canyon		non_saline_candidate		Bacillus licheniformis
GCF_001642595.1	Bacillus licheniformis	Scaffold	current	4154962	28	SAMN04395482	soil	Czech Republic:Nerartovice		non_saline_candidate		Bacillus licheniformis
