Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_001457015.1	Bacillus altitudinis	Scaffold	current	3615064	26	SAMN04263913	marine sediment	India: Chora Island		saline_candidate	marine sediment
GCF_001866745.1	Bacillus amyloliquefaciens	Contig	current	3926774	16	SAMN05920291	rhizophere soil of mangrove	Thailand: Bankajao, Samut Prakan		saline_candidate	mangrove
GCF_002024555.1	Bacillus amyloliquefaciens	Scaffold	current	4016659	19	SAMN06190352	salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake
GCF_018128625.1	Bacillus altitudinis MN12	Contig	current	3679259	33	SAMN14558163	marine sediment	Pacific Ocean		saline_candidate	marine sediment
GCF_018128635.1	Bacillus altitudinis A23-8	Contig	current	3835941	78	SAMN14556211	marine sediment	Indian Ocean		saline_candidate	marine sediment
GCF_024262145.1	Bacillus altitudinis	Scaffold	current	3714049	13	SAMN29198483	mangrove soil	Philippines: Palawan		saline_candidate	mangrove
GCF_031854405.1	Bacillus altitudinis	Contig	current	3722046	38	SAMN37434491	mangrove soil	India: West Bengal, Sundarban,Jambu island		saline_candidate	mangrove
GCF_036553745.1	Bacillus altitudinis	Scaffold	current	4011957	344	SAMN39251589	soil	India: salt farm of CSIR-CSMCRI, Bhavnagar, Gujrat	missing	saline_candidate	salt
GCF_047444915.1	Bacillus altitudinis	Contig	current	3875739	22	SAMN46137717	rhizospheric soil of Nypa fruticans in mangrove forest	Bangladesh		saline_candidate	mangrove
GCF_000465655.1	Bacillus amyloliquefaciens EGD-AQ14	Contig	current	4222588	59	SAMN02469682	saline desert plant rhizosphere	India: Gujarat, Kuchch		saline_candidate	saline
GCF_002024565.1	Bacillus anthracis	Scaffold	current	5838097	67	SAMN06190355	salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake
GCF_003003625.1	Bacillus atrophaeus	Scaffold	current	4102978	11	SAMN08647223	soil from salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake
GCF_003003645.1	Bacillus atrophaeus	Scaffold	current	4281282	13	SAMN08647208	soil from salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake
GCF_018200265.1	Bacillus australimaris	Contig	current	3649005	31	SAMN18571126	marine water from coastal area	India		saline_candidate	coastal
GCF_022359775.1	Bacillus atrophaeus	Contig	current	4462091	1171	SAMN24256866	hypersaline environment	Bolivia: Salar de Uyuni		saline_candidate	saline;hypersaline
GCF_037104725.1	Bacillus bruguierae	Scaffold	current	5096950	50	SAMN39644991	marine sediment	China: Fujian		saline_candidate	marine sediment
GCF_002024535.1	Bacillus cereus	Contig	current	5392392	29	SAMN06190354	salt lake	Algeria: Ain Mlila-Oum El Bouaghi		saline_candidate	salt;salt lake
GCF_013112375.1	Bacillus cereus	Complete Genome	current	5750332	2	SAMN14832921	seawater	China: Wenzhou	Pyropia	saline_candidate	seawater
GCF_021442085.1	Bacillus cereus	Complete Genome	current	5420664	2	SAMN23527169	mangrove sediment	China:Beihai		saline_candidate	mangrove
GCF_024299105.1	Bacillus cereus	Complete Genome	current	5777956	3	SAMN25580665	deep-sea water	Pacific Ocean: Mariana Trench		saline_candidate	sea water
GCF_030517775.1	Bacillus cereus	Complete Genome	current	5664309	6	SAMN35524212	marine sediments	Pacific Ocean:Western Pacific Ocean		saline_candidate	marine sediment
GCF_046097695.1	Bacillus cereus	Contig	current	5998536	11	SAMN45199897		United Arab Emirates	mangrove	saline_candidate	mangrove
GCF_048150485.1	Bacillus cereus	Scaffold	current	5497521	50	SAMN46285047	mangrove sediments	India:Kerala	Amity Institute of Biotechnology, Rajasthan	saline_candidate	mangrove
GCF_027706145.1	Bacillus changyiensis	Scaffold	current	3712035	27	SAMN32210672	coastal deposit	China:Changyi		saline_candidate	coastal
GCF_027988015.1	Bacillus changyiensis	Contig	current	3713990	40	SAMN32210673	coastal deposit	China:Changyi		saline_candidate	coastal
GCF_003003575.1	Bacillus halotolerans	Scaffold	current	3739092	20	SAMN08648019	salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake
GCF_004006435.1	Bacillus halotolerans	Complete Genome	current	4154245	1	SAMN09095924	dry salty rhizosphere soil of maize	China: Inner Mongolia		saline_candidate	salt
GCF_004146125.1	Bacillus infantis	Contig	current	5001688	40	SAMN10805329	marine sediment	Philippines:Philippine Rise		saline_candidate	marine sediment
GCF_012955605.1	Bacillus fonticola	Complete Genome	current	3159449	1	SAMN14639288	marine sediments	China: South China Sea		saline_candidate	marine sediment
GCF_013347105.1	Bacillus halotolerans	Complete Genome	current	4248134	1	SAMN15143341	saline-alkali rhizosphere soil of Androsace umbellata in Hoh Xil	China:Qinghai		saline_candidate	saline;saline-alkali
GCF_014042035.1	Bacillus haynesii	Complete Genome	current	4235749	1	SAMN15637804	Saline-alkali environment	China: Kashgar	Populus euphratica Oliv	saline_candidate	saline;saline-alkali
GCF_029588905.1	Bacillus halotolerans	Contig	current	4052508	47	SAMN33960641	Salt Mines	Pakistan		saline_candidate	salt
GCF_034427495.1	Bacillus inaquosorum	Scaffold	current	4191974	23	SAMN38703111	coastal mudflats	China: Jiaozhou Bay		saline_candidate	coastal
GCF_037201805.1	Bacillus kandeliae	Chromosome	current	3740334	3	SAMN39644993	marine sediment	China: Fujian	sediment	saline_candidate	marine sediment
GCF_000258125.2	Bacillus licheniformis WX-02	Chromosome	current	4286821	3	SAMN02469900	soil from Yingcheng Salt Mine	China: Hubei Province		saline_candidate	salt
GCF_001644195.2	Bacillus marinisedimentorum	Contig	current	4235284	91	SAMN04585482	marine sediment	China: the coastal area of Weihai		saline_candidate	coastal;marine sediment
GCF_002966955.1	Bacillus licheniformis	Complete Genome	current	4332232	1	SAMN08455836	High-salt fermented soybean	South Korea: Suwon		saline_candidate	salt
GCF_014673515.1	Bacillus licheniformis	Chromosome	current	4222597	126	SAMN15866867	Crude salt from Camalti Saltern	Turkey: Izmir		saline_candidate	salt;saltern
GCF_017338795.1	Bacillus licheniformis	Complete Genome	current	4316909	1	SAMN14217608	seawater	South Korea: 86, Jungnim 3-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do		saline_candidate	seawater
GCF_022808645.1	Bacillus litorisediminis	Scaffold	current	4479585	131	SAMN26329877	mangrove sediments	China		saline_candidate	mangrove
GCF_022808785.1	Bacillus litorisediminis	Scaffold	current	4541765	121	SAMN26329906	mangrove sediments	China		saline_candidate	mangrove
GCF_039831905.1	Bacillus licheniformis	Contig	current	4206608	19	SAMN41450092	Salt	Pakistan: Khewra Salt Mine		saline_candidate	salt
GCF_041225435.1	Bacillus manliponensis	Complete Genome	current	4286476	1	SAMN42622381	coastal soil	South Korea: Jeju		saline_candidate	coastal
GCF_001884025.1	Bacillus pacificus	Contig	current	5416792	102	SAMN05231547	seawater	Pacific Ocean		saline_candidate	seawater
GCF_027477615.1	Bacillus pacificus	Contig	current	5438193	74	SAMN16200492	marine sediment	India: Kanyakumari Coast		saline_candidate	marine sediment
GCF_029193565.1	Bacillus pacificus	Contig	current	5189869	33	SAMN33627856	Salt range	Pakistan: Salt Range Kohat		saline_candidate	salt
GCF_033345485.1	Bacillus pacificus	Contig	current	5226475	27	SAMN37976415	seawater	China		saline_candidate	seawater
GCF_002026335.1	Bacillus paralicheniformis	Scaffold	current	4028325	120	SAMN06190353	water-salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake
