genome	group	PC1	PC2
GCF_001457015.1	saline	0.11224495391666661	-1.2994337872641928
GCF_002024555.1	saline	0.38951373669226974	-0.173820437488071
GCF_024262145.1	saline	0.11224495391666632	-1.2994337872641917
GCF_003003625.1	saline	0.38951373669227124	-0.17382043748806736
GCF_003003645.1	saline	0.3895137366922703	-0.1738204374880679
GCF_037104725.1	saline	-20.255121597121565	-1.525556267441577
GCF_027706145.1	saline	0.38951373669227024	-0.17382043748806833
GCF_003003575.1	saline	0.11224495391666563	-1.299433787264192
GCF_004006435.1	saline	0.38951373669226935	-0.17382043748806705
GCF_012955605.1	saline	0.11224495391666645	-1.2994337872641917
GCF_013347105.1	saline	0.3895137366922701	-0.17382043748806822
GCF_014042035.1	saline	-0.046491208732388614	1.422502882433877
GCF_034427495.1	saline	0.3895137366922702	-0.1738204374880682
GCF_037201805.1	saline	0.513999899803321	-0.4529605464536572
GCF_000258125.2	saline	-0.046491208732388496	1.4225028824338768
GCF_002966955.1	saline	-0.046491208732388496	1.4225028824338768
GCF_014673515.1	saline	0.3895137366922701	-0.17382043748806822
GCF_017338795.1	saline	0.389513736692271	-0.1738204374880688
GCF_022808645.1	saline	0.11224495391666625	-1.2994337872641908
GCF_022808785.1	saline	0.14763627611630753	-3.3316138364372696
GCF_041225435.1	saline	0.11224495391666625	-1.2994337872641908
GCF_002026335.1	saline	0.3895137366922701	-0.17382043748806822
GCF_002393225.1	saline	0.5139998998033203	-0.4529605464536563
GCF_002993945.1	saline	0.3895137366922701	-0.17382043748806822
GCF_035985545.1	saline	0.3895137366922701	-0.17382043748806822
GCF_002077215.1	saline	0.11224495391666625	-1.2994337872641908
GCF_030717805.1	saline	0.11224495391666625	-1.2994337872641908
GCF_041431275.1	saline	0.11224495391666625	-1.2994337872641908
GCF_001742425.1	saline	0.14763627611630753	-3.3316138364372696
GCF_052976745.1	saline	0.11224495391666625	-1.2994337872641908
GCF_055475255.1	saline	0.3895137366922701	-0.17382043748806822
GCF_005234095.1	saline	0.3895137366922701	-0.17382043748806822
GCF_008831405.1	saline	0.3895137366922701	-0.17382043748806822
GCF_024262185.1	saline	0.3895137366922701	-0.17382043748806822
GCF_025426155.1	saline	0.3895137366922701	-0.17382043748806822
GCF_025837035.1	saline	0.3895137366922701	-0.17382043748806822
GCF_052373815.1	saline	0.3895137366922701	-0.17382043748806822
GCF_050908195.1	saline	0.3895137366922701	-0.17382043748806822
GCF_050908245.1	saline	0.3895137366922701	-0.17382043748806822
GCF_004328925.1	saline	0.3895137366922701	-0.17382043748806822
GCF_002811125.1	saline	0.3895137366922701	-0.17382043748806822
GCF_003667745.1	saline	-0.7518309095063359	3.2846255336894785
GCF_004378445.1	saline	-0.7518309095063359	3.2846255336894785
GCF_013348705.1	saline	0.3895137366922701	-0.17382043748806822
