Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_001457015.1	Bacillus altitudinis	Scaffold	current	3615064	26	SAMN04263913	marine sediment	India: Chora Island		saline_candidate	marine sediment
GCF_002024555.1	Bacillus amyloliquefaciens	Scaffold	current	4016659	19	SAMN06190352	salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake
GCF_024262145.1	Bacillus altitudinis	Scaffold	current	3714049	13	SAMN29198483	mangrove soil	Philippines: Palawan		saline_candidate	mangrove
GCF_003003625.1	Bacillus atrophaeus	Scaffold	current	4102978	11	SAMN08647223	soil from salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake
GCF_003003645.1	Bacillus atrophaeus	Scaffold	current	4281282	13	SAMN08647208	soil from salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake
GCF_037104725.1	Bacillus bruguierae	Scaffold	current	5096950	50	SAMN39644991	marine sediment	China: Fujian		saline_candidate	marine sediment
GCF_027706145.1	Bacillus changyiensis	Scaffold	current	3712035	27	SAMN32210672	coastal deposit	China:Changyi		saline_candidate	coastal
GCF_003003575.1	Bacillus halotolerans	Scaffold	current	3739092	20	SAMN08648019	salt lake	China: Qinghai, Qinghai lake		saline_candidate	salt;salt lake
GCF_004006435.1	Bacillus halotolerans	Complete Genome	current	4154245	1	SAMN09095924	dry salty rhizosphere soil of maize	China: Inner Mongolia		saline_candidate	salt
GCF_012955605.1	Bacillus fonticola	Complete Genome	current	3159449	1	SAMN14639288	marine sediments	China: South China Sea		saline_candidate	marine sediment
GCF_013347105.1	Bacillus halotolerans	Complete Genome	current	4248134	1	SAMN15143341	saline-alkali rhizosphere soil of Androsace umbellata in Hoh Xil	China:Qinghai		saline_candidate	saline;saline-alkali
GCF_014042035.1	Bacillus haynesii	Complete Genome	current	4235749	1	SAMN15637804	Saline-alkali environment	China: Kashgar	Populus euphratica Oliv	saline_candidate	saline;saline-alkali
GCF_034427495.1	Bacillus inaquosorum	Scaffold	current	4191974	23	SAMN38703111	coastal mudflats	China: Jiaozhou Bay		saline_candidate	coastal
GCF_037201805.1	Bacillus kandeliae	Chromosome	current	3740334	3	SAMN39644993	marine sediment	China: Fujian	sediment	saline_candidate	marine sediment
GCF_000258125.2	Bacillus licheniformis WX-02	Chromosome	current	4286821	3	SAMN02469900	soil from Yingcheng Salt Mine	China: Hubei Province		saline_candidate	salt
GCF_002966955.1	Bacillus licheniformis	Complete Genome	current	4332232	1	SAMN08455836	High-salt fermented soybean	South Korea: Suwon		saline_candidate	salt
GCF_014673515.1	Bacillus licheniformis	Chromosome	current	4222597	126	SAMN15866867	Crude salt from Camalti Saltern	Turkey: Izmir		saline_candidate	salt;saltern
GCF_017338795.1	Bacillus licheniformis	Complete Genome	current	4316909	1	SAMN14217608	seawater	South Korea: 86, Jungnim 3-ro, Gwangdo-myeon, Tongyeong-si, Gyeongsangnam-do		saline_candidate	seawater
GCF_022808645.1	Bacillus litorisediminis	Scaffold	current	4479585	131	SAMN26329877	mangrove sediments	China		saline_candidate	mangrove
GCF_022808785.1	Bacillus litorisediminis	Scaffold	current	4541765	121	SAMN26329906	mangrove sediments	China		saline_candidate	mangrove
GCF_041225435.1	Bacillus manliponensis	Complete Genome	current	4286476	1	SAMN42622381	coastal soil	South Korea: Jeju		saline_candidate	coastal
GCF_002026335.1	Bacillus paralicheniformis	Scaffold	current	4028325	120	SAMN06190353	water-salt lake	Algeria: Ain Baida-Ouargla		saline_candidate	salt;salt lake
GCF_002393225.1	Bacillus paralicheniformis	Complete Genome	current	4535069	1	SAMN07594137	Doejnang (High-salt fermented soybean)	South Korea: Suwon		saline_candidate	salt
GCF_002993945.1	Bacillus paralicheniformis	Complete Genome	current	4464381	1	SAMN07701715	Red Sea lagoons-Mangrove mud	Saudi Arabia:Rabigh harbor lagoon		saline_candidate	mangrove
GCF_035985545.1	Bacillus paralicheniformis	Complete Genome	current	4458487	1	SAMN39409197	Seawater sediment	China:Qingdao	missing	saline_candidate	seawater
GCF_002077215.1	Bacillus safensis	Complete Genome	current	3740842	1	SAMN06030516	mangrove soil	Brazil: Paranagua		saline_candidate	mangrove
GCF_030717805.1	Bacillus pumilus	Complete Genome	current	3769799	1	SAMN36823470	salt spring sediment	USA:Kentucky		saline_candidate	salt
GCF_041431275.1	Bacillus pumilus	Scaffold	current	3693865	24	SAMN35056143	Arctic surface microlayer seawater	Arctic Ocean:North of Greenland		saline_candidate	seawater
GCF_001742425.1	Bacillus solimangrovi	Scaffold	current	3844017	65	SAMN05526266		South Korea	mangrove soil	saline_candidate	mangrove
GCF_009932115.1	Bacillus sp. AIIW2	Scaffold	current	4415261	51	SAMN10651761	seawater from pollutted and populated shoreline	India		saline_candidate	seawater
GCF_052976745.1	Bacillus safensis	Complete Genome	current	3688707	1	SAMN52032428	Deep seawater	China:Qingdao		saline_candidate	seawater
GCF_055475255.1	Bacillus siamensis	Complete Genome	current	3856933	1	SAMN31526309	stem	China	Mangrove	saline_candidate	mangrove
GCF_022808615.1	Bacillus sp. FJAT-47783	Scaffold	current	3506577	79	SAMN26329385	mangrove sediments	China		saline_candidate	mangrove
