accession	protein_count	total_aa	mean_length
GCF_000258125.2	4238	1210460	285.62
GCF_001191605.1	3657	1065823	291.45
GCF_001457015.1	3639	1057295	290.55
GCF_001642595.1	4127	1191838	288.79
GCF_001742425.1	3664	1032684	281.85
GCF_001969855.1	4293	1265381	294.75
GCF_002005345.1	3970	1207652	304.19
GCF_002024555.1	3865	1183645	306.25
GCF_002026335.1	3986	1168823	293.23
GCF_002068155.1	4180	1249550	298.94
GCF_002077215.1	3723	1086880	291.94
GCF_002117165.1	3684	1143667	310.44
GCF_002393225.1	4405	1260856	286.23
GCF_002811125.1	3863	1111332	287.69
GCF_002966955.1	4265	1221793	286.47
GCF_002993945.1	4222	1251253	296.36
GCF_003003575.1	3708	1072146	289.14
GCF_003003625.1	3887	1175108	302.32
GCF_003003645.1	4110	1218233	296.41
GCF_003441635.1	3766	1139514	302.58
GCF_003667745.1	4014	1220864	304.15
GCF_004006435.1	4031	1191172	295.5
GCF_004116955.1	4166	1203088	288.79
GCF_004328925.1	4186	1225922	292.86
GCF_004378445.1	3776	1173705	310.83
GCF_004563755.2	3872	1125304	290.63
GCF_005234095.1	3982	1171989	294.32
GCF_008831405.1	4068	1197336	294.33
GCF_012955605.1	2957	861164	291.23
GCF_013342875.1	4149	1203349	290.03
GCF_013347105.1	4152	1217674	293.27
GCF_013348705.1	3685	1141269	309.71
GCF_014042035.1	4075	1221263	299.7
GCF_014673515.1	4039	1166487	288.81
GCF_014842935.1	3785	1153837	304.84
GCF_015732475.1	3940	1206786	306.29
GCF_016904925.1	3915	1194668	305.15
GCF_017338795.1	4251	1216285	286.12
GCF_018530835.1	3994	1184387	296.54
GCF_019285615.1	4081	1226932	300.64
GCF_019880425.1	3954	1214356	307.12
GCF_020149955.1	3953	1175355	297.33
GCF_021892375.1	3803	1162162	305.59
GCF_022808645.1	4274	1221274	285.74
GCF_022808785.1	4359	1246855	286.04
GCF_024262145.1	3710	1087205	293.05
GCF_024262185.1	4305	1239135	287.84
GCF_024919095.1	3767	1169823	310.54
GCF_025426155.1	3911	1168699	298.82
GCF_025460705.1	4135	1209203	292.43
GCF_025837035.1	4042	1185684	293.34
GCF_026787105.1	3746	1070351	285.73
GCF_026787785.1	3969	1140036	287.24
GCF_026793695.1	4024	1217121	302.47
GCF_026793855.1	4026	1190969	295.82
GCF_027497645.1	3838	1128558	294.05
GCF_027706145.1	3684	1040147	282.34
GCF_029691445.1	3769	1160921	308.02
GCF_029916985.1	4112	1206995	293.53
GCF_030273385.1	4160	1207424	290.25
GCF_030292035.1	3621	1064117	293.87
GCF_030517005.1	3683	1144009	310.62
GCF_030517045.1	3683	1144105	310.64
GCF_030643845.1	4246	1229665	289.61
GCF_030717805.1	3734	1096681	293.7
GCF_033568485.1	4070	1204603	295.97
GCF_034427495.1	4060	1211201	298.33
GCF_035809815.1	4143	1200865	289.85
GCF_035822295.1	3934	1179279	299.77
GCF_035822435.1	4142	1212861	292.82
GCF_035985545.1	4313	1278440	296.42
GCF_036209985.1	3872	1150598	297.16
GCF_036210315.1	4328	1232680	284.82
GCF_036210355.1	4365	1279858	293.21
GCF_036210515.1	4341	1233190	284.08
GCF_036210525.1	4365	1239999	284.08
GCF_037104725.1	4851	1319348	271.97
GCF_037201805.1	3582	1031786	288.05
GCF_037889395.1	3834	1173282	306.02
GCF_040256795.1	4070	1193153	293.16
GCF_041225435.1	4087	1122626	274.68
GCF_041431275.1	3684	1081981	293.7
GCF_044905085.1	4014	1215734	302.87
GCF_045344285.1	3663	1133499	309.45
GCF_045760535.1	3822	1166365	305.17
GCF_049354995.1	3673	1137069	309.58
GCF_050908195.1	4067	1191260	292.91
GCF_050908245.1	4075	1196647	293.66
GCF_051131645.1	3739	1155256	308.97
GCF_052373815.1	4278	1236438	289.02
GCF_052783145.1	3686	1144349	310.46
GCF_052976745.1	3649	1073042	294.06
GCF_054187945.1	3683	1142395	310.18
GCF_054889405.1	3711	1147520	309.22
GCF_054966515.1	3694	1142775	309.36
GCF_055475255.1	3617	1126010	311.31
GCF_056493705.1	4163	1209395	290.51
GCF_056504695.1	4319	1210537	280.28
GCF_056781025.1	3542	1049474	296.29
GCF_905310995.2	4240	1236525	291.63
