Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_000008505.1	[Bacillus thuringiensis] serovar konkukian str. 97-27	Complete Genome	current	5314794	2	SAMN02598265				uncertain	
GCF_000225935.1	Bacillus altitudinis	Scaffold	current	3692856	161	SAMN02470966				uncertain	
GCF_000299555.2	Bacillus altitudinis	Complete Genome	current	3755709	1	SAMN01178022		China:Chengdu		uncertain	
GCF_000691145.1	Bacillus altitudinis 41KF2b	Contig	current	3678935	39	SAMN02746610	cryogenic tubes used for collecting air samples from high altitudes	India		uncertain	
GCF_000747705.1	Bacillus amyloliquefaciens	Scaffold	current	3908571	19	SAMD00019233		Japan:Nara		uncertain	
GCF_000750045.1	Bacillus amyloliquefaciens	Contig	current	3921104	21	SAMN03009691	soil	China: Wuhan		non_saline_candidate	
GCF_000789425.2	Bacillus altitudinis	Scaffold	current	3743699	19	SAMN02873991	Indian meal moth	USA		uncertain	
GCF_000817575.1	Bacillus amyloliquefaciens	Scaffold	current	3987635	182	SAMN03223812	soybean root	China: Heilongjiang	Glycine max	non_saline_candidate	
GCF_000828455.1	Bacillus altitudinis	Scaffold	current	3719496	71	SAMN03267271	cereals, cereal products, fermented breads, pasta and pastries	Netherlands		uncertain	
GCF_000949525.1	Bacillus altitudinis	Contig	current	3812514	61	SAMN03273925	health products	Portugal		uncertain	
GCF_000972685.1	Bacillus altitudinis	Complete Genome	current	3745123	1	SAMN03420843	raw gallnut honey	China: Nandan County, Guangxi Province		uncertain	
GCF_001029865.1	Bacillus altitudinis	Contig	current	3972159	85	SAMN03753582	internal stem tissue	Puerto Rico	Chamaecostus cuspidatus	uncertain	
GCF_001191605.1	Bacillus altitudinis	Complete Genome	current	3681784	2	SAMN02905161	soil	China		non_saline_candidate	
GCF_001278635.1	Bacillus amyloliquefaciens	Contig	current	4173094	86	SAMN03983769	roots	Colombia: Boyaca	Physalis peruviana	non_saline_candidate	
GCF_001286945.1	Bacillus amyloliquefaciens	Contig	current	4031481	128	SAMEA3484404				uncertain	
GCF_001286965.1	Bacillus amyloliquefaciens	Contig	current	4090896	167	SAMEA3484407				uncertain	
GCF_001294785.1	Bacillus amyloliquefaciens	Contig	current	3941805	35	SAMN04032688		China: Hubei	cotton	uncertain	
