genome	K00366	K00372	K01077	K01113	K01505	K01915	K02406	K02556	K02557	K03407	K03413	K03833	K03834	K03837	K04103	K06390	K07636	K07657	K16531
GCF_000258125.2	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_001191605.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_001457015.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_001642595.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_001742425.1	1	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_001969855.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002005345.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002024555.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002026335.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002068155.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002077215.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002117165.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002393225.1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002811125.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_002966955.1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
GCF_002993945.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_003003575.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_003003625.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_003003645.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_003441635.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_003667745.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_004006435.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_004116955.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_004328925.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_004378445.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GCF_004563755.2	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_005234095.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_008831405.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_012955605.1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
GCF_013342875.1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
