protein_id	ko	evalue	score	threshold	score_minus_threshold
WP_003234015.1	K00004	1.6e-141	469.8	376.97	92.82999999999998
WP_019712387.1	K00372	1.2e-279	928.3	909.57	18.729999999999905
WP_080287651.1	K01077	3.3e-113	377.6	67.97	309.63
WP_032722881.1	K01113	1.5e-165	550.7	94.03	456.6700000000001
WP_003231737.1	K01915	1.9e-107	358.6	37.7	320.90000000000003
WP_019712473.1	K02013	7.6e-116	385.5	226.0	159.5
WP_015714688.1	K02015	1.3e-105	352.2	343.37	8.829999999999984
WP_015714689.1	K02016	1.8e-68	229.6	157.77	71.82999999999998
WP_004399074.1	K02036	4.8e-142	471.4	268.53	202.87
WP_015714268.1	K02037	1.9e-100	335.6	260.07	75.53000000000003
WP_003230103.1	K02038	2e-94	315.3	255.13	60.170000000000016
WP_029726710.1	K02040	1.8e-77	259.4	55.67	203.72999999999996
WP_003228021.1	K02406	7.8e-130	432.4	135.0	297.4
WP_014477672.1	K02556	1.9e-94	315.0	97.97	217.03
WP_003232473.1	K02557	4.5e-72	241.5	144.87	96.63
WP_014476817.1	K03407	2.6e-225	748.2	509.2	239.00000000000006
WP_032722103.1	K06390	4e-132	438.7	217.4	221.29999999999998
WP_032722335.1	K07636	1.8e-125	417.7	327.73	89.96999999999997
WP_003219701.1	K07692	7.8e-113	373.9	267.17	106.72999999999996
WP_032722710.1	K19549	5.9e-254	840.0	689.47	150.52999999999997
WP_003227505.1	K19550	5.2e-143	472.7	388.33	84.37
WP_003227502.1	K19552	3.7e-257	850.6	730.4	120.20000000000005
WP_080015536.1	K23188	7.7e-142	471.8	460.43	11.370000000000005
