genome	Organism Name	species_clean	group	Assembly BioSample Isolation source	Assembly BioSample Geographic location	K01505	K04103	K21801	K11816	K11817	K01077	K01113	K07657	K07636	K00117	K02036	K02037	K02038	K02040	K03833	K03834	K03835	K03836	K03837	K02013	K02015	K02016	K23186	K23187	K23188	K01915	K00372	K00366	K16531	K06390	K02406	K02556	K02557	K03407	K03413	K07692	K19733	K00004	K19549	K19550	K19552
GCF_001457015.1	Bacillus altitudinis	Bacillus altitudinis	saline	marine sediment	India: Chora Island	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_002024555.1	Bacillus amyloliquefaciens	Bacillus amyloliquefaciens	saline	salt lake	Algeria: Ain Baida-Ouargla	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_024262145.1	Bacillus altitudinis	Bacillus altitudinis	saline	mangrove soil	Philippines: Palawan	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0
GCF_003003625.1	Bacillus atrophaeus	Bacillus atrophaeus	saline	soil from salt lake	China: Qinghai, Qinghai lake	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_003003645.1	Bacillus atrophaeus	Bacillus atrophaeus	saline	soil from salt lake	China: Qinghai, Qinghai lake	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	0	0
GCF_037104725.1	Bacillus bruguierae	Bacillus bruguierae	saline	marine sediment	China: Fujian	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0
GCF_027706145.1	Bacillus changyiensis	Bacillus changyiensis	saline	coastal deposit	China:Changyi	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0
GCF_003003575.1	Bacillus halotolerans	Bacillus halotolerans	saline	salt lake	China: Qinghai, Qinghai lake	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_004006435.1	Bacillus halotolerans	Bacillus halotolerans	saline	dry salty rhizosphere soil of maize	China: Inner Mongolia	0	0	0	0	0	1	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1
GCF_012955605.1	Bacillus fonticola	Bacillus fonticola	saline	marine sediments	China: South China Sea	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	0	0
