genome	protein_id	ko	evalue	score
GCF_000258125.2	WP_003180762.1	K00366	6e-86	287.2
GCF_000258125.2	WP_003178979.1	K00372	3.1e-277	920.3
GCF_000258125.2	WP_003183293.1	K01077	8.5e-102	339.9
GCF_000258125.2	WP_003178586.1	K01113	2e-168	560.2
GCF_000258125.2	WP_003182974.1	K01505	6.1e-16	56.1
GCF_000258125.2	WP_003182145.1	K01915	1.4e-108	362.3
GCF_000258125.2	WP_003185695.1	K02406	3.1e-132	440.3
GCF_000258125.2	WP_009329389.1	K02556	2.2e-94	314.7
GCF_000258125.2	WP_003181091.1	K02557	2.7e-73	245.5
GCF_000258125.2	WP_003181814.1	K03407	1.4e-224	745.9
GCF_000258125.2	WP_003181796.1	K03413	2.4e-46	156.7
GCF_000258125.2	WP_003178321.1	K03833	1.8e-79	266.2
GCF_000258125.2	WP_003182515.1	K03834	5.3e-12	43.3
GCF_000258125.2	WP_003184100.1	K04103	3.3e-68	228.5
GCF_000258125.2	WP_003183411.1	K06390	1.4e-130	433.6
GCF_000258125.2	WP_003184312.1	K07636	4.2e-124	413.2
GCF_000258125.2	WP_003183084.1	K07657	7.9e-83	276.3
GCF_000258125.2	WP_003182961.1	K16531	3.9e-21	73.2
GCF_001191605.1	WP_017358862.1	K00366	7.1e-27	91.7
GCF_001191605.1	WP_025207473.1	K00372	8.6e-278	921.9
GCF_001191605.1	WP_035392556.1	K01077	3.8e-107	357.3
GCF_001191605.1	WP_007500937.1	K01505	2.6e-15	53.8
GCF_001191605.1	WP_007499421.1	K01915	2.2e-108	361.5
GCF_001191605.1	WP_050827169.1	K02406	2.4e-132	440.4
GCF_001191605.1	WP_008346088.1	K02556	2e-92	308.1
GCF_001191605.1	WP_017367125.1	K02557	6.5e-70	234.2
GCF_001191605.1	WP_017359080.1	K03407	1.7e-225	748.6
GCF_001191605.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_001191605.1	WP_007496302.1	K03833	2.8e-79	265.4
GCF_001191605.1	WP_050827528.1	K04103	4.5e-70	234.4
GCF_001191605.1	WP_035390790.1	K06390	1.7e-133	443.0
GCF_001191605.1	WP_048001854.1	K07636	1.3e-124	414.7
GCF_001191605.1	WP_007501691.1	K07657	1.4e-84	282.0
GCF_001191605.1	WP_008342707.1	K16531	7.3e-24	82.0
GCF_001457015.1	WP_058213698.1	K00366	8.5e-87	289.8
GCF_001457015.1	WP_058214081.1	K00372	2.3e-277	920.5
GCF_001457015.1	WP_008348991.1	K01077	3.4e-107	357.5
GCF_001457015.1	WP_007500937.1	K01505	2.6e-15	53.8
GCF_001457015.1	WP_007499421.1	K01915	2.2e-108	361.5
GCF_001457015.1	WP_017359608.1	K02406	3.6e-130	433.3
GCF_001457015.1	WP_008346088.1	K02556	2e-92	308.1
GCF_001457015.1	WP_019743067.1	K02557	1.4e-69	233.1
GCF_001457015.1	WP_007499569.1	K03407	3.8e-226	750.8
GCF_001457015.1	WP_007499584.1	K03413	1.7e-47	160.3
GCF_001457015.1	WP_007496302.1	K03833	2.7e-79	265.4
GCF_001457015.1	WP_008342854.1	K04103	1.8e-70	235.7
GCF_001457015.1	WP_035390790.1	K06390	1.7e-133	443.0
GCF_001457015.1	WP_048001854.1	K07636	1.3e-124	414.7
GCF_001457015.1	WP_007501691.1	K07657	1.3e-84	282.0
GCF_001457015.1	WP_058214178.1	K16531	1.7e-23	80.7
GCF_001642595.1	WP_003180762.1	K00366	5.9e-86	287.2
GCF_001642595.1	WP_016885148.1	K00372	8.7e-278	922.1
GCF_001642595.1	WP_003183293.1	K01077	8.3e-102	339.9
GCF_001642595.1	WP_003178586.1	K01113	2e-168	560.2
GCF_001642595.1	WP_003182974.1	K01505	5.9e-16	56.1
GCF_001642595.1	WP_003182145.1	K01915	1.4e-108	362.3
GCF_001642595.1	WP_003185695.1	K02406	3e-132	440.3
GCF_001642595.1	WP_009329389.1	K02556	2.2e-94	314.7
GCF_001642595.1	WP_003181091.1	K02557	2.7e-73	245.5
GCF_001642595.1	WP_016885474.1	K03407	1.1e-224	746.1
GCF_001642595.1	WP_003181796.1	K03413	2.4e-46	156.7
GCF_001642595.1	WP_003178321.1	K03833	1.7e-79	266.2
GCF_001642595.1	WP_063906759.1	K03834	7e-12	42.8
GCF_001642595.1	WP_003184100.1	K04103	3.2e-68	228.5
GCF_001642595.1	WP_003183411.1	K06390	1.4e-130	433.6
GCF_001642595.1	WP_003184312.1	K07636	4.1e-124	413.2
GCF_001642595.1	WP_003183084.1	K07657	7.7e-83	276.3
GCF_001642595.1	WP_003182961.1	K16531	3.8e-21	73.2
GCF_001742425.1	WP_069717186.1	K00366	2.2e-199	662.0
GCF_001742425.1	WP_069716900.1	K01077	1.1e-98	329.3
GCF_001742425.1	WP_069715774.1	K01505	3.2e-14	50.2
GCF_001742425.1	WP_069715884.1	K01915	1.7e-107	358.5
GCF_001742425.1	WP_069715986.1	K02406	2.8e-117	390.7
GCF_001742425.1	WP_069718081.1	K02556	2.7e-99	330.7
GCF_001742425.1	WP_069718082.1	K02557	7.4e-75	250.5
GCF_001742425.1	WP_069718797.1	K03407	2.8e-227	754.5
GCF_001742425.1	WP_069718788.1	K03413	5.6e-48	161.9
