Assembly Accession	Organism Name	Assembly Level	Assembly Status	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Geographic location	Assembly BioSample Host	candidate_group	keyword_hits
GCF_002173635.1	Bacillus amyloliquefaciens	Complete Genome	current	4088240	2	SAMN07125918	food	South Korea		exclude_review	food
GCF_004421045.1	Bacillus amyloliquefaciens	Complete Genome	current	4240930	1	SAMN10862242	Food processing environment	USA:MD		exclude_review	food
GCF_012844145.1	Bacillus altitudinis	Contig	current	3868742	34	SAMN14558242	feces	Germany	Sus scrofa domesticus	exclude_review	feces
GCF_018916635.1	Bacillus albus	Contig	current	6043853	64	SAMN19374087	feces	China: Suzhou	Macaca fascicularis	exclude_review	feces
GCF_023502445.1	Bacillus altitudinis	Contig	current	3788883	17	SAMN24804914	feces	China: Yunnan	bat	exclude_review	feces
GCF_027568435.1	Bacillus altitudinis	Contig	current	3788883	17	SAMN30158603	feces	China	bat	exclude_review	feces
GCF_039581685.1	Bacillus aerius	Contig	current	3718211	16	SAMN41074328	dairy milk	Canada: Quebec	bovine	exclude_review	milk
GCF_042137835.1	Bacillus albus	Contig	current	5762246	66	SAMN43781995	food: Sesame seeds	Switzerland		exclude_review	food
GCF_046563895.1	Bacillus altitudinis	Contig	current	3761771	24	SAMN32990826	milk sample	India: Gujarat	Homo sapiens	exclude_review	milk
GCF_050563305.1	Bacillus albus	Contig	current	5816246	106	SAMN48388847	food: frozen berries	Switzerland		exclude_review	food
GCF_051965915.1	Bacillus altitudinis	Scaffold	current	3767042	47	SAMN48968268	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_051966095.1	Bacillus altitudinis	Scaffold	current	3854586	65	SAMN48968262	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_051966175.1	Bacillus altitudinis	Scaffold	current	3722417	38	SAMN48968259	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_051966325.1	Bacillus altitudinis	Contig	current	3811748	34	SAMN48968258	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_051967535.1	Bacillus altitudinis	Scaffold	current	3686358	21	SAMN48968222	Cleanroom floor	USA: Jet Propulsion Laboratory, Pasadena, CA		exclude_review	laboratory
GCF_000832445.1	Bacillus anthracis	Complete Genome	current	5506626	3	SAMN03010433	human	USA		exclude_review	human
GCF_000832465.1	Bacillus anthracis	Complete Genome	current	5504993	3	SAMN03010428	human	South Africa		exclude_review	human
GCF_000832725.1	Bacillus anthracis	Complete Genome	current	5487255	3	SAMN03010427	human	South Africa		exclude_review	human
GCF_001277955.1	Bacillus anthracis	Chromosome	current	5503288	4	SAMN03765650	blood	Greece	Ovis	exclude_review	blood
GCF_002019425.1	Bacillus anthracis	Contig	current	5366662	70	SAMN05511433	Patient ulcer	Georgia	Homo sapiens	exclude_review	patient
GCF_002025265.1	Bacillus anthracis	Contig	current	5366425	71	SAMN05511418	Patient ulcer	Georgia	Homo sapiens	exclude_review	patient
GCF_002025345.1	Bacillus anthracis	Contig	current	5460424	71	SAMN05511398	Patient ulcer	Georgia	Homo sapiens	exclude_review	patient
GCF_002025415.1	Bacillus anthracis	Contig	current	5459580	71	SAMN05511399	Patient ulcer	Georgia	Homo sapiens	exclude_review	patient
GCF_002025435.1	Bacillus anthracis	Contig	current	5461970	77	SAMN05511254	Patient ulcer	Georgia	Homo sapiens	exclude_review	patient
GCF_002025455.1	Bacillus anthracis	Contig	current	5461431	82	SAMN05511380	Patient ulcer	Georgia	Homo sapiens	exclude_review	patient
GCF_002980615.3	Bacillus anthracis	Complete Genome	current	5229731	1	SAMN08627228	laboratory strain	Russia: Saratov	missing	exclude_review	laboratory
GCF_003045745.2	Bacillus anthracis	Scaffold	current	5461108	56	SAMN07644999	Blood from dead animal from fresh cut	India: Maharashtra	Ovis aries	exclude_review	blood
GCF_003335125.1	Bacillus anthracis	Contig	current	5366275	33	SAMN09635715	laboratory stock culture	Germany		exclude_review	laboratory
GCF_014249775.1	Bacillus anthracis	Chromosome	current	5503926	8	SAMN15770451	blood	India:Kanchipuram	Bovine	exclude_review	blood
GCF_021014295.1	Bacillus anthracis	Scaffold	current	5524913	145	SAMN19613164	Soil contaminated with the blood from the dead animal	India: Vellore, Tamil Nadu	Bos indicus	exclude_review	blood
GCF_023920185.1	Bacillus amyloliquefaciens	Complete Genome	current	3997876	2	SAMN23798686	feces	China:Nyingchi	Sus scrofa	exclude_review	feces
GCF_029278325.1	Bacillus amyloliquefaciens	Complete Genome	current	3942038	1	SAMN33693476	feces	China:Qingdao	Mink	exclude_review	feces
GCF_030269725.1	Bacillus amyloliquefaciens	Scaffold	current	4063154	24	SAMD00542300	Feces of giant panda	Japan		exclude_review	feces
GCF_035812755.1	Bacillus amyloliquefaciens	Scaffold	current	3942207	25	SAMN33940414	mutant	not collected		exclude_review	mutant
GCF_035812795.1	Bacillus amyloliquefaciens	Scaffold	current	3942111	59	SAMN33940413	mutant	not collected		exclude_review	mutant
GCF_036945645.1	Bacillus amyloliquefaciens	Scaffold	current	4386154	47	SAMN32638682	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945665.1	Bacillus amyloliquefaciens	Scaffold	current	3871229	18	SAMN32638680	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945745.1	Bacillus amyloliquefaciens	Scaffold	current	3871029	20	SAMN32638679	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945825.1	Bacillus amyloliquefaciens	Scaffold	current	4387068	36	SAMN32638675	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945845.1	Bacillus amyloliquefaciens	Scaffold	current	3870805	16	SAMN32638676	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945885.1	Bacillus amyloliquefaciens	Scaffold	current	4387105	37	SAMN32638673	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945945.1	Bacillus amyloliquefaciens	Scaffold	current	3871688	18	SAMN32638670	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036945985.1	Bacillus amyloliquefaciens	Scaffold	current	3871538	19	SAMN32638665	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036946005.1	Bacillus amyloliquefaciens	Scaffold	current	4384420	44	SAMN32638668	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036946025.1	Bacillus amyloliquefaciens	Scaffold	current	4385006	44	SAMN32638663	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036946045.1	Bacillus amyloliquefaciens	Scaffold	current	3870411	18	SAMN32638666	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036946065.1	Bacillus amyloliquefaciens	Scaffold	current	3874687	17	SAMN32638662	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_036946085.1	Bacillus amyloliquefaciens	Scaffold	current	3871671	19	SAMN32638664	Laboratory contaminant	USA: Oregon		exclude_review	laboratory
GCF_000258885.1	Bacillus anthracis str. H9401	Complete Genome	current	5495471	3	SAMN02603474	cutaneous anthrax patient	South Korea	Homo sapiens	exclude_review	patient
GCF_000518025.1	Bacillus cereus	Contig	current	5633049	106	SAMN02597354	pasteurized milk	USA		exclude_review	milk
GCF_000833275.1	Bacillus anthracis str. Turkey32	Complete Genome	current	5505298	3	SAMN03010432	human skin	Turkey: Yozgat		exclude_review	human
GCF_001044585.1	Bacillus cereus	Scaffold	current	5226364	322	SAMN03325935	Milk powder	Germany	missing	exclude_review	milk
GCF_001044645.1	Bacillus cereus	Scaffold	current	5714965	66	SAMN03325932	feces	missing	Homo sapiens	exclude_review	feces
GCF_001044955.1	Bacillus cereus	Scaffold	current	6764924	180	SAMN03325926	feces	missing	Homo sapiens	exclude_review	feces
GCF_001583685.1	Bacillus cereus	Contig	current	5725783	87	SAMN03800018	Laboratory Heat Treated Raw Milk	USA: New York		exclude_review	milk;laboratory
GCF_001583805.1	Bacillus cereus	Contig	current	5790900	182	SAMN03800028	Raw liquid milk and whey perm	USA: New York		exclude_review	milk
GCF_001583855.1	Bacillus cereus	Contig	current	5663643	204	SAMN03800034	Liquid skim milk CLT	USA: New York state		exclude_review	milk
GCF_001583865.1	Bacillus cereus	Contig	current	5882215	169	SAMN03800033	Finished RTE food product	USA: New York state		exclude_review	food
GCF_001583875.1	Bacillus cereus	Contig	current	5860633	198	SAMN03800032	Skim milk CLT	USA: New York state		exclude_review	milk
GCF_001583935.1	Bacillus cereus	Contig	current	6864976	301	SAMN03800021	Laboratory Heat Treated Raw Milk	USA: New York		exclude_review	milk;laboratory
GCF_001583975.1	Bacillus cereus	Contig	current	5920010	185	SAMN03800023	Laboratory Heat Treated Raw Milk	USA: New York		exclude_review	milk;laboratory
GCF_001584105.1	Bacillus cereus	Contig	current	5590151	158	SAMN03800029	Raw liquid milk silo	USA: New York		exclude_review	milk
GCF_001619285.1	Bacillus cereus	Scaffold	current	5503020	89	SAMN04046440	food	Netherlands		exclude_review	food
GCF_001619355.1	Bacillus cereus	Scaffold	current	6432609	151	SAMN04046449	food	Netherlands		exclude_review	food
GCF_001619395.1	Bacillus cereus	Scaffold	current	5662632	85	SAMN04046540	food	Netherlands		exclude_review	food
GCF_001619405.1	Bacillus cereus	Scaffold	current	5591458	94	SAMN04046541	food	Netherlands		exclude_review	food
GCF_001619425.1	Bacillus cereus	Scaffold	current	5717535	91	SAMN04046441	food	Netherlands		exclude_review	food
GCF_001619445.1	Bacillus cereus	Scaffold	current	5338004	63	SAMN04046443	food	Netherlands		exclude_review	food
GCF_001619525.1	Bacillus cereus	Scaffold	current	5213247	71	SAMN04046539	food	Netherlands		exclude_review	food
GCF_001635995.1	Bacillus cereus	Complete Genome	current	5980834	3	SAMN03457175	vomit of food poisoning patient	China		exclude_review	patient;food
GCF_001677965.1	Bacillus cereus	Contig	current	5453060	36	SAMN05194404	feces	USA: Fresno County	Gallus gallus	exclude_review	feces
GCF_002173495.1	Bacillus atrophaeus	Complete Genome	current	4180819	1	SAMN07125920	food	South Korea		exclude_review	food
GCF_018916725.1	Bacillus atrophaeus	Contig	current	4309679	21	SAMN19374082	feces	China: Suzhou	Macaca fascicularis	exclude_review	feces
GCF_035802955.1	Bacillus anthracis	Scaffold	current	5797601	55	SAMN33769535	raw buffalo milk	Egypt		exclude_review	milk
GCF_035812415.1	Bacillus anthracis	Scaffold	current	5813786	105	SAMN33940432	raw buffalo milk	Egypt		exclude_review	milk
GCF_035988905.1	Bacillus anthracis	Scaffold	current	5109679	68	SAMN33769607	Industrial waste water	China: Guangdong		exclude_review	industrial
GCF_041900855.1	Bacillus anthracis	Contig	current	5446775	33	SAMN43423730	blood	USA: Virgin Islands ex Haiti	Homo sapiens	exclude_review	blood
GCF_044751505.1	Bacillus anthracis	Contig	current	5457771	27	SAMN43361332	blood	China: Wenshui County, Shanxi Province	bovine	exclude_review	blood
GCF_047289895.1	Bacillus anthracis	Contig	current	5448943	42	SAMN46368087	blood stained soil	Pakistan: Bajour	cow	exclude_review	blood
GCF_047289935.1	Bacillus anthracis	Contig	current	5473188	81	SAMN46368086	blood stained soil	Pakistan: Bajour	cow	exclude_review	blood
GCF_047289945.1	Bacillus anthracis	Contig	current	5449542	40	SAMN46368085	blood stained soil	Pakistan: Bajour	cow	exclude_review	blood
GCF_047291435.1	Bacillus anthracis	Contig	current	5451289	34	SAMN46368078	blood stained soil	Pakistan: Zhob	goat	exclude_review	blood
GCF_047291445.1	Bacillus anthracis	Contig	current	5450311	34	SAMN46368082	blood stained soil	Pakistan: Zhob	sheep	exclude_review	blood
GCF_047291455.1	Bacillus anthracis	Contig	current	5470281	71	SAMN46368083	blood stained soil	Pakistan: Zhob	sheep	exclude_review	blood
GCF_047291485.1	Bacillus anthracis	Contig	current	5467150	68	SAMN46368084	blood stained soil	Pakistan: Bajour	cow	exclude_review	blood
GCF_047291555.1	Bacillus anthracis	Contig	current	5451512	33	SAMN46368079	blood stained soil	Pakistan: Zhob	goat	exclude_review	blood
GCF_047291565.1	Bacillus anthracis	Contig	current	5451517	37	SAMN46368081	blood stained soil	Pakistan: Zhob	cow	exclude_review	blood
GCF_047291615.1	Bacillus anthracis	Contig	current	5450793	35	SAMN46368080	blood stained soil	Pakistan: Zhob	cow	exclude_review	blood
GCF_050478945.1	Bacillus anthracis	Contig	current	5601045	87	SAMN41009716	blood culture	not collected		exclude_review	blood
GCF_050482705.1	Bacillus atrophaeus	Contig	current	4079933	23	SAMN41009541	contaminant on milk agar plate	not collected		exclude_review	milk
GCF_050482745.1	Bacillus anthracis	Contig	current	5450625	33	SAMN41009539	heart blood	not collected	mouse	exclude_review	blood
GCF_056033965.1	Bacillus anthracis	Complete Genome	current	5505950	3	SAMN50683810	blood	Ukraine:Ternopil	Equus caballus	exclude_review	blood
GCF_056156805.1	Bacillus anthracis	Contig	current	5505383	167	SAMN46830249	blood	India	cattle	exclude_review	blood
GCF_056156845.1	Bacillus anthracis	Contig	current	5459205	50	SAMN46830315	blood	India	sheep	exclude_review	blood
GCF_001895235.1	Bacillus cereus	Scaffold	current	5310142	114	SAMN05907188	Breast milk	France: Paris Ile-de-France Lactarium	Homo sapiens	exclude_review	milk
GCF_002014485.1	Bacillus cereus	Contig	current	5132411	91	SAMN06242082	pasteurized milk	USA		exclude_review	milk
GCF_002014575.1	Bacillus cereus	Contig	current	5668335	314	SAMN06242076	raw milk	USA		exclude_review	milk
GCF_002014705.1	Bacillus cereus	Contig	current	6469365	530	SAMN05953541	condensed milk	USA		exclude_review	milk
GCF_002014895.1	Bacillus cereus	Contig	current	5659188	215	SAMN06242079	pasteurized milk	USA		exclude_review	milk
GCF_002200055.1	Bacillus cereus	Scaffold	current	6314530	278	SAMN07205618	food product	USA: MD	missing	exclude_review	food
GCF_002200085.1	Bacillus cereus	Contig	current	5992149	93	SAMN07205610	food product	USA: MD	missing	exclude_review	food
GCF_002200175.1	Bacillus cereus	Scaffold	current	6417642	309	SAMN07205609	food product	USA: MD	missing	exclude_review	food
GCF_002214705.1	Bacillus cereus	Complete Genome	current	5369104	1	SAMN05300203	Korean fermented food	South Korea		exclude_review	food
GCF_002215175.1	Bacillus cereus	Complete Genome	current	5721108	3	SAMN05300204	Korean fermented food	South Korea		exclude_review	food
GCF_002216125.1	Bacillus cereus	Complete Genome	current	5600741	4	SAMN05300194	Korean fermented food	South Korea		exclude_review	food
GCF_003568565.1	Bacillus cereus	Complete Genome	current	6029077	2	SAMN07515795	air in Laboratory	China: Baoding	bacteria	exclude_review	laboratory
GCF_015071065.1	Bacillus cereus	Contig	current	5797289	111	SAMN12511981	Dairy Farm Milk Chiller	Australia:Tasmania, Dairy Farm		exclude_review	milk
GCF_015071115.1	Bacillus cereus	Contig	current	6000813	173	SAMN12512001	Dairy Farm Milk Chiller	Australia:Tasmania, Dairy Farm		exclude_review	milk
GCF_015645275.1	Bacillus cereus	Contig	current	5955252	101	SAMN16679758	blood	Taiwan	Homo sapiens	exclude_review	blood
GCF_016757815.1	Bacillus cereus	Contig	current	5766138	108	SAMN16604393	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016757835.1	Bacillus cereus	Contig	current	5768350	104	SAMN16604392	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016757865.1	Bacillus cereus	Contig	current	5548098	76	SAMN16604395	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016757895.1	Bacillus cereus	Contig	current	5794764	114	SAMN16604389	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016757935.1	Bacillus cereus	Contig	current	5424202	79	SAMN16604382	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758415.1	Bacillus cereus	Contig	current	5768051	113	SAMN16604396	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758475.1	Bacillus cereus	Contig	current	5877440	78	SAMN16604391	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758515.1	Bacillus cereus	Contig	current	5550389	75	SAMN16604394	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758535.1	Bacillus cereus	Contig	current	5781352	324	SAMN16604388	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758545.1	Bacillus cereus	Contig	current	5621680	90	SAMN16604386	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758575.1	Bacillus cereus	Contig	current	5575710	65	SAMN16604385	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_016758645.1	Bacillus cereus	Contig	current	5918943	79	SAMN16604381	blood culture	Italy: Apulia	Homo sapiens	exclude_review	blood
GCF_018221445.1	Bacillus cereus	Contig	current	5726216	38	SAMN08094758	food remnant	United Kingdom: London		exclude_review	food
GCF_018221565.1	Bacillus cereus	Contig	current	5269502	20	SAMN08094763	poisoned food	missing		exclude_review	food
GCF_019734275.1	Bacillus cereus	Scaffold	current	5904711	39	SAMN14389527	feces	China	Homo sapiens	exclude_review	feces
GCF_021014445.1	Bacillus cereus	Contig	current	5582797	5	SAMN18108455	blood culture	France: Certeil	Homo sapiens	exclude_review	blood
GCF_021043245.1	Bacillus cereus	Contig	current	6185599	5	SAMN23416006	feces	Mexico	Homo sapiens	exclude_review	feces
GCF_022509785.1	Bacillus cereus	Scaffold	current	5442449	30	SAMN25182253	feces	Poland	Testudo horsfieldii	exclude_review	feces
GCF_022509825.1	Bacillus cereus	Scaffold	current	5866545	104	SAMN25182250	feces	Poland	Testudo hermanni	exclude_review	feces
