genome	group	Axis1	Axis2
GCF_001457015.1	saline	0.03864314703914185	-0.030887256600517176
GCF_002024555.1	saline	0.08473847054649224	-0.03702766055192849
GCF_024262145.1	saline	0.03864314703914151	-0.030887256600517173
GCF_003003625.1	saline	-0.057895612440140805	-0.04210331291418686
GCF_003003645.1	saline	-0.047348977375932536	0.056554836994061795
GCF_037104725.1	saline	-0.334232650390063	-0.22500870026119213
GCF_027706145.1	saline	-0.15165518773626618	-0.041358870285373814
GCF_003003575.1	saline	0.09917106593919058	-0.10659936361532879
GCF_004006435.1	saline	0.0698017290072708	0.029945890491547965
GCF_012955605.1	saline	-0.23198603292598902	-0.11585594698868726
GCF_013347105.1	saline	0.0698017290072708	0.029945890491548013
GCF_014042035.1	saline	-0.13963664759460923	0.07426716828619785
GCF_034427495.1	saline	0.06980172900727082	0.029945890491547986
GCF_037201805.1	saline	-0.11943162801268493	-0.17178990236929734
GCF_000258125.2	saline	-0.1822232850182729	0.07715058843100221
GCF_002966955.1	saline	-0.18222328501827295	0.07715058843100221
GCF_014673515.1	saline	-0.18222328501827292	0.0771505884310022
GCF_017338795.1	saline	-0.18222328501827298	0.07715058843100223
GCF_022808645.1	saline	-0.1388106034455834	-0.12039026614748116
GCF_022808785.1	saline	-0.1388106034455834	-0.12039026614748116
GCF_041225435.1	saline	-0.20325335914554157	-0.17196806883602964
GCF_002026335.1	saline	-0.1673962568491479	0.09263736189280258
GCF_002393225.1	saline	-0.15419428122788878	0.10830674068327915
GCF_002993945.1	saline	-0.13963664759460934	0.07426716828619799
GCF_035985545.1	saline	-0.13963664759460934	0.074267168286198
GCF_002077215.1	saline	0.0495654706435331	-0.11195233675300323
GCF_030717805.1	saline	0.04956547064353309	-0.11195233675300324
GCF_041431275.1	saline	0.049565470643533095	-0.11195233675300321
GCF_001742425.1	saline	-0.20444381420744193	-0.1709189318014878
GCF_052976745.1	saline	0.04956547064353308	-0.11195233675300327
GCF_055475255.1	saline	-0.004526717482582133	-0.04376595673654987
GCF_005234095.1	saline	0.0698017290072708	0.029945890491548003
GCF_008831405.1	saline	0.0698017290072708	0.029945890491548024
GCF_024262185.1	saline	0.0698017290072708	0.029945890491548017
GCF_025426155.1	saline	0.0698017290072708	0.029945890491548024
GCF_025837035.1	saline	0.06980172900727077	0.029945890491548027
GCF_052373815.1	saline	0.06980172900727076	0.029945890491548024
GCF_050908195.1	saline	0.06980172900727077	0.029945890491548024
GCF_050908245.1	saline	0.06980172900727076	0.029945890491548003
GCF_004328925.1	saline	0.06980172900727075	0.029945890491548003
GCF_002811125.1	saline	0.08473847054649268	-0.03702766055192835
GCF_003667745.1	saline	0.08864731221765679	0.02073845908447401
GCF_004378445.1	saline	0.08864731221765676	0.020738459084473995
GCF_013348705.1	saline	0.06980172900727076	0.029945890491547986
GCF_014842935.1	saline	0.10510087820159521	0.04534236904873282
GCF_015732475.1	saline	0.1027797239259814	-0.053912707788636674
GCF_016904925.1	saline	0.08473847054649271	-0.0370276605519284
GCF_019285615.1	saline	0.06980172900727076	0.029945890491547975
GCF_020149955.1	saline	0.06980172900727076	0.029945890491547972
GCF_029691445.1	saline	0.10277972392598138	-0.053912707788636674
GCF_030517005.1	saline	0.06980172900727075	0.029945890491547972
GCF_030517045.1	saline	0.06980172900727075	0.029945890491547972
GCF_045760535.1	saline	0.0847384705464927	-0.03702766055192841
GCF_052783145.1	saline	0.06980172900727075	0.029945890491547958
GCF_001191605.1	non_saline	0.0386431470391417	-0.030887256600516964
GCF_004563755.2	non_saline	0.0386431470391417	-0.030887256600516964
GCF_019880425.1	non_saline	0.08864731221765679	0.02073845908447396
GCF_036209985.1	non_saline	-0.05548248534607683	0.033364485250924496
GCF_026793855.1	non_saline	-0.05789561244014086	-0.04210331291418697
GCF_056493705.1	non_saline	0.06980172900727073	0.029945890491547965
GCF_033568485.1	non_saline	0.06980172900727073	0.029945890491547975
GCF_040256795.1	non_saline	0.06980172900727075	0.029945890491547958
GCF_001969855.1	non_saline	-0.1822232850182729	0.07715058843100228
GCF_026793695.1	non_saline	0.06980172900727075	0.02994589049154796
GCF_035809815.1	non_saline	-0.18222328501827287	0.07715058843100225
GCF_036210315.1	non_saline	-0.1822232850182729	0.07715058843100227
GCF_001642595.1	non_saline	-0.1822232850182729	0.07715058843100225
GCF_056504695.1	non_saline	-0.18222328501827287	0.07715058843100223
GCF_036210355.1	non_saline	-0.13963664759460936	0.07426716828619793
GCF_036210515.1	non_saline	-0.13963664759460936	0.07426716828619793
GCF_002068155.1	non_saline	-0.13963664759460936	0.07426716828619793
GCF_036210525.1	non_saline	-0.1396366475946094	0.07426716828619793
GCF_026787105.1	non_saline	-0.06840214278479782	-0.02442131351794661
GCF_030292035.1	non_saline	-0.06840214278479782	-0.02442131351794661
GCF_056781025.1	non_saline	0.038643147039141665	-0.03088725660051697
GCF_026787785.1	non_saline	0.049565470643533054	-0.1119523367530033
GCF_027497645.1	non_saline	0.007312610981058991	-0.059656391371597665
GCF_030273385.1	non_saline	0.06980172900727073	0.02994589049154796
