genome	protein_id	ko	evalue	score	threshold	score_minus_threshold
GCF_000258125.2	WP_003178979.1	K00372	3.1000000000000003e-277	920.3	909.57	10.729999999999905
GCF_000258125.2	WP_003183293.1	K01077	8.5e-102	339.9	67.97	271.92999999999995
GCF_000258125.2	WP_003178586.1	K01113	2e-168	560.2	94.03	466.1700000000001
GCF_000258125.2	WP_003182145.1	K01915	1.4e-108	362.3	37.7	324.6
GCF_000258125.2	WP_003186508.1	K02013	1.1999999999999999e-95	319.0	226.0	93.0
GCF_000258125.2	WP_003185150.1	K02016	9.3e-72	240.5	157.77	82.72999999999999
GCF_000258125.2	WP_043928725.1	K02036	1.3999999999999999e-140	466.7	268.53	198.17
GCF_000258125.2	WP_003183532.1	K02037	1.3e-98	329.6	260.07	69.53000000000003
GCF_000258125.2	WP_003183530.1	K02038	8.6e-95	316.5	255.13	61.370000000000005
GCF_000258125.2	WP_031314660.1	K02040	3.4e-76	255.2	55.67	199.53
GCF_000258125.2	WP_003185695.1	K02406	3.1e-132	440.3	135.0	305.3
GCF_000258125.2	WP_009329389.1	K02556	2.2e-94	314.7	97.97	216.73
GCF_000258125.2	WP_003181091.1	K02557	2.7000000000000003e-73	245.5	144.87	100.63
GCF_000258125.2	WP_003181814.1	K03407	1.4000000000000001e-224	745.9	509.2	236.7
GCF_000258125.2	WP_003181796.1	K03413	2.3999999999999997e-46	156.7	135.0	21.69999999999999
GCF_000258125.2	WP_003183411.1	K06390	1.4e-130	433.6	217.4	216.2
GCF_000258125.2	WP_003184312.1	K07636	4.2e-124	413.2	327.73	85.46999999999997
GCF_000258125.2	WP_003185730.1	K07692	2.3e-112	372.3	267.17	105.13
GCF_001191605.1	WP_008342621.1	K00004	2.1e-140	465.9	376.97	88.92999999999995
GCF_001191605.1	WP_025207473.1	K00372	8.6e-278	921.9	909.57	12.329999999999927
GCF_001191605.1	WP_035392556.1	K01077	3.7999999999999996e-107	357.3	67.97	289.33000000000004
GCF_001191605.1	WP_007499421.1	K01915	2.2e-108	361.5	37.7	323.8
GCF_001191605.1	WP_050826801.1	K02013	7.6e-118	391.9	226.0	165.89999999999998
GCF_001191605.1	WP_017359258.1	K02015	3.3e-106	353.9	343.37	10.529999999999973
GCF_001191605.1	WP_048002136.1	K02016	6.4e-68	227.6	157.77	69.82999999999998
GCF_001191605.1	WP_017367606.1	K02036	3.5e-139	461.8	268.53	193.27000000000004
GCF_001191605.1	WP_017357999.1	K02037	2.3999999999999998e-96	321.9	260.07	61.829999999999984
GCF_001191605.1	WP_007501259.1	K02038	5.4e-96	320.3	255.13	65.17000000000002
GCF_001191605.1	WP_017367609.1	K02040	1.5e-75	252.8	55.67	197.13
GCF_001191605.1	WP_050827169.1	K02406	2.3999999999999998e-132	440.4	135.0	305.4
GCF_001191605.1	WP_008346088.1	K02556	2e-92	308.1	97.97	210.13
GCF_001191605.1	WP_017367125.1	K02557	6.499999999999999e-70	234.2	144.87	89.32999999999998
GCF_001191605.1	WP_017359080.1	K03407	1.7e-225	748.6	509.2	239.40000000000003
GCF_001191605.1	WP_007499584.1	K03413	1.6999999999999998e-47	160.3	135.0	25.30000000000001
GCF_001191605.1	WP_035390790.1	K06390	1.7000000000000002e-133	443.0	217.4	225.6
GCF_001191605.1	WP_048001854.1	K07636	1.3000000000000002e-124	414.7	327.73	86.96999999999997
GCF_001191605.1	WP_008348273.1	K07692	4.8999999999999997e-113	374.3	267.17	107.13
GCF_001191605.1	WP_025208167.1	K19549	7.499999999999999e-226	747.2	689.47	57.73000000000002
GCF_001191605.1	WP_272914028.1	K19550	1.2e-131	435.3	388.33	46.97000000000003
GCF_001191605.1	WP_008347057.1	K23188	3.3e-140	466.2	460.43	5.769999999999982
GCF_001457015.1	WP_008342621.1	K00004	2.1e-140	465.9	376.97	88.92999999999995
GCF_001457015.1	WP_058214081.1	K00372	2.3e-277	920.5	909.57	10.92999999999995
GCF_001457015.1	WP_008348991.1	K01077	3.4e-107	357.5	67.97	289.53
GCF_001457015.1	WP_007499421.1	K01915	2.2e-108	361.5	37.7	323.8
GCF_001457015.1	WP_058214375.1	K02013	1.1e-117	391.3	226.0	165.3
GCF_001457015.1	WP_019743893.1	K02015	2.5e-106	354.4	343.37	11.029999999999973
GCF_001457015.1	WP_025207962.1	K02016	1.3999999999999998e-68	229.7	157.77	71.92999999999998
GCF_001457015.1	WP_017367606.1	K02036	3.5e-139	461.8	268.53	193.27000000000004
GCF_001457015.1	WP_017367608.1	K02037	1.5999999999999999e-96	322.4	260.07	62.329999999999984
GCF_001457015.1	WP_035390827.1	K02038	4.499999999999999e-96	320.5	255.13	65.37
GCF_001457015.1	WP_017367609.1	K02040	1.5e-75	252.8	55.67	197.13
GCF_001457015.1	WP_017359608.1	K02406	3.6e-130	433.3	135.0	298.3
GCF_001457015.1	WP_008346088.1	K02556	2e-92	308.1	97.97	210.13
GCF_001457015.1	WP_019743067.1	K02557	1.4e-69	233.1	144.87	88.22999999999999
GCF_001457015.1	WP_007499569.1	K03407	3.8e-226	750.8	509.2	241.6
GCF_001457015.1	WP_007499584.1	K03413	1.6999999999999998e-47	160.3	135.0	25.30000000000001
GCF_001457015.1	WP_035390790.1	K06390	1.7000000000000002e-133	443.0	217.4	225.6
GCF_001457015.1	WP_048001854.1	K07636	1.3000000000000002e-124	414.7	327.73	86.96999999999997
